id_str;from_user;text;created_at;time;geo_coordinates;user_lang;in_reply_to_user_id_str;in_reply_to_screen_name;from_user_id_str;in_reply_to_status_id_str;source;profile_image_url;user_followers_count;user_friends_count;user_utc_offset;status_url;entities_str
481085552918536000;machtm;RT @kwelle: Moed: 10 major differences between citation data and article download data., e.g. usage leaks and missed recordings #altmetricsâ€¦;Mon Jun 23 14:45:08 +0000 2014;23.06.2014 10:45;;en;;;20532677;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/378800000479109364/9d573c63034cea9483005ff5f8fe2134_normal.jpeg;341;559;-14400;http://twitter.com/machtm/statuses/481085552918536193;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[128,140]},{""text"":""websci14"",""indices"":[139,140]}],""user_mentions"":[{""id"":78688499,""name"":""Katrin Weller"",""indices"":[3,10],""screen_name"":""kwelle"",""id_str"":""78688499""}]}"
481085498665238000;RouhiRoo;.@altmetric @ #altmetrics14 - #henkmoed attitudes toward soc-media determines visibility within those spaces - dangers to use in assessment;Mon Jun 23 14:44:55 +0000 2014;23.06.2014 10:44;;en;;;2190724014;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/477539917333925888/fjXuw_h-_normal.png;184;272;;http://twitter.com/RouhiRoo/statuses/481085498665238528;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[14,27]},{""text"":""henkmoed"",""indices"":[30,39]}],""user_mentions"":[{""id"":350424151,""name"":""Altmetric"",""indices"":[1,11],""screen_name"":""altmetric"",""id_str"":""350424151""}]}"
481085319748796000;kwelle;RT @stefhaustein: Moed: we are mixing scientific and societal impact, scientific facts and opinion, peer-review and non-peer review #altmetâ€¦;Mon Jun 23 14:44:13 +0000 2014;23.06.2014 10:44;;en;;;78688499;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/1386200672/portrait_normal.jpg;975;619;7200;http://twitter.com/kwelle/statuses/481085319748796417;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[132,140]}],""user_mentions"":[{""id"":134765219,""name"":""Stefanie Haustein"",""indices"":[3,16],""screen_name"":""stefhaustein"",""id_str"":""134765219""}]}"
481085275066884000;Impactstory;Hmm. Moed suggests that immediate impact of #altmetrics may lack the time for reflection needed to assess significance #altmetrics14;Mon Jun 23 14:44:02 +0000 2014;23.06.2014 10:44;;en;;;375668090;;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";http://pbs.twimg.com/profile_images/428743904729374720/UHfQGF1o_normal.png;3639;1653;-25200;http://twitter.com/Impactstory/statuses/481085275066884096;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics"",""indices"":[44,55]},{""text"":""altmetrics14"",""indices"":[119,132]}],""user_mentions"":[]}"
481085263972925000;RouhiRoo;.@altmetric @ #altmetrics14 #henkmoed - also need to distinguish between attention versus influence;Mon Jun 23 14:43:59 +0000 2014;23.06.2014 10:43;;en;;;2190724014;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/477539917333925888/fjXuw_h-_normal.png;184;272;;http://twitter.com/RouhiRoo/statuses/481085263972925440;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[14,27]},{""text"":""henkmoed"",""indices"":[28,37]}],""user_mentions"":[{""id"":350424151,""name"":""Altmetric"",""indices"":[1,11],""screen_name"":""altmetric"",""id_str"":""350424151""}]}"
481085002571325000;stefhaustein;Moed: we are mixing scientific and societal impact, scientific facts and opinion, peer-review and non-peer review #altmetrics14;Mon Jun 23 14:42:57 +0000 2014;23.06.2014 10:42;;en;;;134765219;;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";http://pbs.twimg.com/profile_images/474283581787746305/57Jon8Ry_normal.jpeg;392;305;-10800;http://twitter.com/stefhaustein/statuses/481085002571325441;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[114,127]}],""user_mentions"":[]}"
481084964394373000;herrison;I bought Reinventing Discovery @bookdepository http://t.co/qJt3JQe5BE #altmetrics14  reading for home, a change from Copenhagen @111theatre;Mon Jun 23 14:42:48 +0000 2014;23.06.2014 10:42;;en;;;14711619;;"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>";http://pbs.twimg.com/profile_images/378800000796982543/67ce4ec73418bbbe7e1ce1221c2d4898_normal.jpeg;420;333;3600;http://twitter.com/herrison/statuses/481084964394373122;"{""symbols"":[],""urls"":[{""expanded_url"":""http://b00k.co/mhpxhi"",""indices"":[47,69],""display_url"":""b00k.co/mhpxhi"",""url"":""http://t.co/qJt3JQe5BE""}],""hashtags"":[{""text"":""altmetrics14"",""indices"":[70,83]}],""user_mentions"":[{""id"":6572712,""name"":""Book Depository"",""indices"":[31,46],""screen_name"":""bookdepository"",""id_str"":""6572712""},{""id"":560573848,""name"":""ElevenOne Theatre"",""indices"":[128,139],""screen_name"":""111Theatre"",""id_str"":""560573848""}]}"
481084915438862000;RouhiRoo;.@altmetric @ #altmetrics14 - #henkmoed warns us to avoid the dangers of opining - blogs/socmed have no way of linking opinion to author;Mon Jun 23 14:42:36 +0000 2014;23.06.2014 10:42;;en;;;2190724014;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/477539917333925888/fjXuw_h-_normal.png;184;272;;http://twitter.com/RouhiRoo/statuses/481084915438862337;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[14,27]},{""text"":""henkmoed"",""indices"":[30,39]}],""user_mentions"":[{""id"":350424151,""name"":""Altmetric"",""indices"":[1,11],""screen_name"":""altmetric"",""id_str"":""350424151""}]}"
481084830168653000;kwelle;"""data driven intelligence is crontrolled by human intelligence"" Moed, #altmetrics14 #websci14";Mon Jun 23 14:42:16 +0000 2014;23.06.2014 10:42;;en;;;78688499;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/1386200672/portrait_normal.jpg;975;619;7200;http://twitter.com/kwelle/statuses/481084830168653825;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[70,83]},{""text"":""websci14"",""indices"":[84,93]}],""user_mentions"":[]}"
481084719447433000;RouhiRoo;.@altmetric @ #altmetrics14 - opinions versus fact need to be noted (blogs tend to opinion) - Peer-review vs non-peer review -Socmedia no QC;Mon Jun 23 14:41:49 +0000 2014;23.06.2014 10:41;;en;;;2190724014;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";http://pbs.twimg.com/profile_images/477539917333925888/fjXuw_h-_normal.png;184;272;;http://twitter.com/RouhiRoo/statuses/481084719447433216;"{""symbols"":[],""urls"":[],""hashtags"":[{""text"":""altmetrics14"",""indices"":[14,27]}],""user_mentions"":[{""id"":350424151,""name"":""Altmetric"",""indices"":[1,11],""screen_name"":""altmetric"",""id_str"":""350424151""}]}"
